1	43	2	82	25	130076345893796842581606821659878535287012106312980679857947476078993206613693956702041206316741896589535249287280759168304
1	44	2	100	32	610034728796923603459478146158978307403162405113365893699630633694970721682403979542455135259133854102723502861748974859681
1	45	2	108	26	420076815813695359851613410724536428369679533061477065898161246393502698135396810682537495140896359639680307076366913135974
1	46	3	53	12	158012493653391561853691290215361524425858429675308610343513619636893980653749318263609470797692435340313624985257416598479
1	47	3	81	10	207043961568931825406977086310279281102864797874209632014258215894079727486102516095108610234272085947697404153133531315479
1	48	3	103	16	476012709586381689598815918170686247861891526904314254256070106185220941176985302774399740607354612859304972598346047479287
1	49	4	16	14	031304954572928603451213986185958015618539249575862015310346723152802491170425360795218597042407534794203670186498776120369
1	50	5	29	12	595120188128367094706457852420135069670431783462012877822450217604013306547201398160427498530514439670365879034366939936369
1	51	5	114	1	595120188128367094706457852420135069670431783462012877822450217606013706567201308160427498530514439670365879034346079974369
1	52	6	108	7	593201068128367094706457852420135069670431783462012877822450217607013606570278968160427498530514439670365879034437069963369
1	53	7	12	16	476794709798045354251393669796394540120437203961635983696180257943413046530974248760457498230526449135272039076956807816021
1	54	7	23	9	076794706098675359821390677995824249043075534311034523046708257943478047239947868724015898230526449135276012670616807816827
1	55	7	95	1	076794706098675359821390677995824249043075534311034523046708257943478047239947868724015898236520947168596012670616807816827
1	56	7	112	9	876706102082617913534700677916824587245125933016454308726936879474213961530021349739316812560022718872866745012202154102340
1	57	7	116	10	076706106382197618630704255110243181254060633649933040766395218612042040531728958994017281231616581589860301782682110102254
1	58	9	20	6	010120122025114395860187026112018121254206015382126702106391010215224319553861310621210216001896253497810707186250447639076
1	59	9	107	10	186201616089675339601762475376061215531538023571184259360123069854743204012452101361288270701603279168747240153028196963958
1	60	9	117	4	186607616001372581604763946082797135531314595178300675240121865312163079967043609634700340696341306589674236589878207076135
1	61	10	23	3	547403492801672821067600314218685039670169452782874255427498975247452947479245248595438616020866110076829778872257497794794
1	62	10	68	7	047186793602791842586251806153128207186767180426302109744253581535910132258974599658729745825203410749728601012284789895531
1	63	14	83	4	010120122021310639687152041221030121287204028551938161863691010215220312158076890220121531021512031304354501102250442135012
1	64	14	117	1	010120122021310639687152041221030121287204028551938161863691010215220316153598610320131028521726081186764007186280749067043
1	65	15	58	2	407985163939466053187282475370601407706162318705246399857607939589640524345425121542525897442400531728957693816708639816430
1	66	18	24	4	010120122024715934028107066112078121369302016802122102102871010215220312158076890220121531021512031304354551403250442135012
1	67	26	48	3	707021066128587294728857630274961987706028517663019850129631683512182044739974969753581207912611082607677845102637904043542
1	68	26	82	4	420974215253141658978612100730436342607859042873721865988167976812440024315120432002031687415281376985109593936700659278618
1	69	26	93	1	420974215253141658978612100730436342607859042873721865988167976815445359215985432807476934995069876936104398985700627278670
1	70	28	37	3	020479811053121543013605321806786343102701038554988954257497976810445203210245422107456934295028815895938751693356135681102
1	71	42	58	2	431021850668171563943010281349725340021034072496583515892103496810703276487403025994257943458075961034788649497319560287681
1	72	43	55	1	604021537630104345210532584047953979760241401823679852101353496810701273286497815995278276847079967043608645542761061728681
