N???CB?K?[H_IOK_Og?	46	3fffffffffff
N???CB?K?[H_IOK_Gg?	46	3fffffffffff
N???CB?K?[H_IOK_Ag?	46	3ffffffffffd2
N???CB?K?[H_IOK_QC?	46	3fffffffffff
N???CB?K?[H_IOK_IC?	46	3fffffffffff
N???CB?K?[H_IOK_OS?	46	3fffffffffff
N???CB?K?[H_IOK_GK?	46	3fffffffffff
N???CB?K?[H_IOK_Ga?	46	3fffffff0ffff
N???CB?K?[H_IOK_?i?	46	3ffffffffffcc
N???CB?K?[H_IOK_OE?	46	3fffffffffff
N???CB?K?[H_IOK_?M?	46	3fffffffffff
N???CB?K?[H_IOCo[??	46	3fffffffffff
N???CB?K?[H_IOCoY??	46	3fffffffffff
N???CB?K?[H_IOCoU??	46	3fffffffffff
N???CB?K?[H_IOCoM??	46	3fffffffffff
N???CB?K?[H_IOCoW_?	46	3ffffffffffcc
N???CB?K?[H_IOCoS_?	46	3fffffffffff
N???CB?K?[H_IOCoE_?	46	3ffffffffffd2
N???CB?K?[H_IOCoEO?	46	3ffffffffffd2
N???CB?K?[H_IOCoGc?	46	1ffffffffb7fe
N???CB?K?[H_IOCoWA?	46	3fffffffffff
N???CB?K?[H_BOK_U??	46	3fffffffdef7e
N???CB?K?[H_BOK_M??	46	3ffff7dfdf7ff
N???CB?K?[H_BOK_KO?	46	3ffff7dfdf7ff
N???CB?K?[H_BOK_SG?	46	3fffffffffff
N???CB?K?[H_BOK_KG?	46	3fffffffffff
N???CB?K?[H_BOK_KA?	46	3fffffff0ffff
N???CB?K?[H_BOK_GQ?	46	3fffffff0ffff
N???CB?K?[H_BOK_GI?	46	7ffffffff7ff
N???CB?K?[H_Aok?M??	46	7ffffffdffff
N???CB?K?[H_Aok?K_?	46	7ffffffff7ff
N???CB?K?[H_Aok?E_?	46	fffffffdefff
N???CB?K?[H_Aok?Co?	46	7fffffffff7f
N???CB?K?[H_Aok?EG?	46	2ffeffffffefb
N???CB?K?[H_Aok?EC?	46	3bffbffffff7d
N???CB?K?[H_Aok?CK?	46	3fffffffffff
N???CB?K?[H_Aok?KA?	46	7fffffff7fff
N???CB?K?[H_Aok?Ga?	46	7ffffffdffff
N???CB?K?[H_Aok??q?	46	7fffffff7fff
N???CB?K?[H_Aok?CE?	46	3ffeff7ff7eff
N???CB?K?[H_Aok??M?	46	3fffffffffff
N???CB?K?[H_Ao[?E_?	46	3ffff7dfdf7ff
N???CB?K?[H_Ao[?EO?	46	3ffff7dfdf7ff
N???CB?K?[H_Ao[?SC?	46	3fffffffffff
N???CB?K?[H_Ao[?CK?	46	3fffffffffff
N???CB?K?[H_Ao[?OE?	46	3fffffffffff
N???CB?K?[H_Ao[??M?	46	3fffffffffff
N???CB?K?[H_AoL?[??	46	3fffffffffff
N???CB?K?[H_AoL?KO?	46	3ffff7dfdf7ff
N???CB?K?[H_AoL?EO?	46	3faeffff75e937d2
N???CB?K?[H_AoL?CW?	46	3ffffffffffd2
N???CB?K?[H_AoL?SC?	46	7fffffffff7f
N???CB?K?[H_AoL?KC?	46	3fffffffffff
N???CB?K?[H_AoL?CS?	46	3fffffffffff
N???CB?K?[H_AoL?WA?	46	3fffffffffff
N???CB?K?[H_AoL?OQ?	46	3fffffffffff
N???CB?K?[H_AoL?GQ?	46	3fffffff0ffff
N???CB?K?[H_AoL??Y?	46	3ffffffffffcc
N???CB?K?[H_AoL?OE?	46	7fffffff7fff
N???CB?K?[H_AoL??U?	46	3fffffffffff
N???CB?K?[D_U?OoU??	46	3fffffffffff
N???CB?K?[D_U?OoE_?	46	3ffff7dfdf7ff
N???CB?K?[D_U?OoEO?	46	3ffff7dfdf7ff
N???CB?K?[D_U?OoEG?	46	3fffffffffff
N???CB?K?[D_U?OoEC?	46	3fffffffffff
N???CB?K?[D_U?OoCc?	46	3fffffffffff
N???CB?K?[D_U?OoAc?	46	3fffffffffff
N???CB?K?[D_U?OoOK?	46	3ffffffffffcc
N???CB?K?[D_U?OoAK?	46	3fffffffffff
N???CB?K?[D_U?Oo?[?	46	1ffffffffb7fe
N???CB?K?[D_U?OoAI?	46	3fffffffffff
N???CB?K?[D_U??wU??	46	3fffffffffff
N???CB?K?[D_U??wM??	46	3fffffffffff
N???CB?K?[D_U??wS_?	46	3fffffffffff
N???CB?K?[D_U??wI_?	46	3fffffffffff
N???CB?K?[D_U??wE_?	46	1ffffffffb7fe
N???CB?K?[D_U??wCo?	46	3fffffffffff
N???CB?K?[D_U??wKG?	46	3fffffffffff
N???CB?K?[D_U??wEG?	46	3fffffffffff
